#,Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta),Servo_Angle,Target_Servo_Angle,Projected_Apogee,Error_Apogee
31,6.2460,GROUND,0.2500,-4.8249,-0.7845,8.4337,-4.9600,-0.7100,8.5100,-0.0800,0.1100,0.0400,359.9375,-29.7500,5.5625,-4.8700,-0.8200,8.4600,-10.5538,-13.6766,-0.4785,-29.7500,24.7648,25.0000,0.0000,0.0000
32,6.2842,GROUND,0.0000,-4.8641,-0.7061,8.0022,-5.0000,-0.9100,8.4600,-0.1300,-0.0800,0.0000,359.9375,-29.7500,5.5625,-4.8700,-0.8200,8.4600,-10.5061,-13.5624,-0.3815,-29.7500,24.7648,25.0000,0.0000,0.0000
33,6.3240,GROUND,-0.6250,-5.2564,-0.8238,7.9238,-5.0200,-0.8300,8.4600,-0.1500,0.0000,0.0000,359.9375,-29.7500,5.5625,-4.8700,-0.8300,8.4600,-10.5607,-13.8203,-0.7372,-29.7500,24.7648,25.0000,0.0000,0.0000
34,6.3637,GROUND,-0.2500,-5.2564,-0.8238,7.7669,323.1600,-0.5800,8.4000,0.3500,0.2400,-0.0600,359.9375,-29.8125,5.5625,-4.8700,-0.8200,8.4600,-10.5815,-13.6806,-0.6343,-29.8125,24.7648,25.0000,0.0000,0.0000
35,6.4029,GROUND,-0.4375,-4.9426,-0.5099,7.6100,-4.8700,-0.6900,8.3300,0.0000,0.1300,-0.1300,359.9375,-29.8125,5.5625,-4.8700,-0.8200,8.4600,-10.3955,-13.6926,-0.7103,-29.8125,24.7648,25.0000,0.0000,0.0000
36,6.4419,GROUND,-0.1875,-4.9033,-0.6669,7.9630,-4.9700,-0.9300,8.4400,-0.0900,-0.1000,-0.0200,359.9375,-29.8125,5.5625,-4.8700,-0.8200,8.4600,-10.4214,-13.5385,-0.5677,-29.8125,24.7648,25.0000,0.0000,0.0000
37,6.4783,GROUND,-0.3750,-5.0210,-0.6669,7.8061,-5.0900,-0.8000,8.3700,-0.1900,0.0800,-0.0100,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.4314,-13.5558,-0.6403,-29.8125,24.7648,25.0000,0.0000,0.0000
38,6.5164,GROUND,-0.9375,-4.9033,-0.7061,8.0415,-4.9000,-0.8500,8.5400,-0.0200,-0.0200,0.0700,359.9375,-29.8125,5.5625,-4.8700,-0.8200,8.4600,-10.4595,-13.8327,-1.0264,-29.8125,24.7648,25.0000,0.0000,0.0000
39,6.5557,GROUND,-0.7500,-4.8641,-0.7845,7.9630,-4.9400,-0.8400,8.5000,-0.0600,-0.0100,0.0300,359.9375,-29.8125,5.5625,-4.8700,-0.8200,8.4600,-10.5186,-13.7834,-1.0569,-29.8125,24.7648,25.0000,0.0000,0.0000
40,6.5954,GROUND,-2.1875,-4.7464,-0.8238,8.6691,-4.7400,-1.0600,8.6300,0.1300,-0.2300,0.1700,359.9375,-29.8125,5.5625,-4.8700,-0.8300,8.4600,-10.5657,-14.5217,-1.9714,-29.8125,24.7648,25.0000,0.0000,0.0000
41,6.6344,GROUND,-0.9375,-4.9426,-0.6276,8.0022,-5.0100,-0.8000,8.4400,-0.1300,0.0300,-0.0200,359.9375,-29.8125,5.5625,-4.8700,-0.8300,8.4600,-10.4620,-14.0150,-1.5353,-29.8125,24.7648,25.0000,0.0000,0.0000
42,6.6744,GROUND,0.0000,-4.9033,-0.7061,7.9238,-4.9900,-0.8700,8.4400,-0.1300,0.0300,-0.0200,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.4709,-13.2465,-0.7670,-29.8125,24.7648,25.0000,0.0000,0.0000
43,6.7124,GROUND,-1.3125,-5.0995,-0.7061,7.8845,-4.9500,-0.8200,8.0300,-0.0700,0.0000,-0.4200,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.4746,-13.6644,-1.3006,-29.8125,24.7648,25.0000,0.0000,0.0000
44,6.7505,GROUND,0.0000,-4.7856,-1.0591,8.3945,-4.8500,-1.0000,8.7000,0.0100,0.0600,0.3200,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.6939,-13.0244,-0.6811,-29.8125,24.7648,25.0000,0.0000,0.0000
45,6.7904,GROUND,0.8750,-4.7464,-0.9022,7.6492,-5.0200,-0.8900,8.5900,0.0100,-0.1400,0.0300,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.6807,-12.2569,0.1134,-29.8125,24.7648,25.0000,0.0000,0.0000
46,6.8290,GROUND,0.2500,-5.0210,-0.7061,8.1591,-5.0100,-0.7600,8.4700,-0.0600,0.1200,-0.0400,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.5546,-12.3116,0.0195,-29.8125,24.7648,25.0000,0.0000,0.0000
47,6.8682,GROUND,-0.3750,-4.8641,-0.6669,7.9238,-4.9600,-0.8700,8.5500,-0.0800,-0.0300,0.0800,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.4823,-12.6683,-0.4117,-29.8125,24.7648,25.0000,0.0000,0.0000
48,6.9074,GROUND,-0.3750,-4.7856,-0.7453,7.9238,-4.9400,-0.8800,8.4800,-0.0600,-0.0500,0.0200,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.5031,-12.7637,-0.5742,-29.8125,24.7648,25.0000,0.0000,0.0000
49,6.9466,GROUND,0.2500,-5.1387,-0.7061,7.5707,-4.9500,-0.8900,8.6400,-0.0700,-0.0500,0.1800,359.9375,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.4867,-12.4094,-0.2335,-29.8125,24.7648,25.0000,0.0000,0.0000
50,6.9843,GROUND,0.8125,-5.0210,-0.7061,8.1984,-5.0300,-0.7800,8.4500,-0.1500,0.0400,0.0000,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4804,-11.9216,0.2446,-29.8750,24.7648,25.0000,0.0000,0.0000
51,7.0238,GROUND,-1.9375,-4.8641,-0.6669,7.8061,-5.0800,-0.8100,8.4900,-0.1900,0.0100,0.0300,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4543,-13.3544,-1.3150,-29.8750,24.7648,25.0000,0.0000,0.0000
52,7.0641,GROUND,0.5000,-4.7856,-0.7453,7.8061,-5.0300,-0.8100,8.4900,-0.1400,0.0100,0.0300,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4921,-12.3909,-0.3593,-29.8750,24.7648,25.0000,0.0000,0.0000
53,7.1021,GROUND,-0.5625,-3.7658,0.0000,9.0613,-4.8900,-0.5300,7.9800,0.0500,-0.1600,0.4000,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.0463,-12.6204,-0.6689,-29.8750,24.7648,25.0000,0.0000,0.0000
54,7.1412,GROUND,0.1875,-4.9426,-0.6669,7.2961,-4.9100,-0.8900,8.5300,-0.1000,0.0200,-0.0300,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.2880,-12.2247,-0.3084,-29.8750,24.7648,25.0000,0.0000,0.0000
55,7.1794,GROUND,-1.5625,-4.9033,-0.9022,8.5514,-5.0300,-0.9100,8.5200,-0.1500,-0.0800,0.0600,359.9375,-29.8750,5.6250,-4.8800,-0.8300,8.4600,-10.5261,-13.0747,-1.2742,-29.8750,24.7648,25.0000,0.0000,0.0000
56,7.2174,GROUND,-0.1875,-4.9818,-0.6276,7.8453,-5.0500,-0.7400,8.4200,-0.1700,0.0800,-0.0300,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4469,-12.5378,-0.7780,-29.8750,24.7648,25.0000,0.0000,0.0000
57,7.2564,GROUND,-0.6250,-4.9426,-0.5884,8.0022,-5.0000,-0.7900,8.3400,-0.1100,0.0400,-0.1100,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.3926,-12.5581,-0.8645,-29.8750,24.7648,25.0000,0.0000,0.0000
58,7.2957,GROUND,-0.9375,-4.8249,-0.7453,8.0022,-4.8800,-0.9400,8.5700,0.0000,-0.1100,0.1000,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4689,-12.7139,-1.0851,-29.8750,24.7648,25.0000,0.0000,0.0000
59,7.3328,GROUND,0.0000,-4.8641,-0.8238,8.0022,-5.0000,-0.8300,8.4900,-0.1500,0.0200,0.0000,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.5463,-12.1809,-0.5859,-29.8750,24.7648,25.0000,0.0000,0.0000
60,7.3721,GROUND,0.5000,-4.9426,-0.5884,7.8845,-5.0500,-0.7900,8.4200,-0.1700,0.0300,-0.0100,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4304,-11.6576,-0.0751,-29.8750,24.7648,25.0000,0.0000,0.0000
61,7.4103,GROUND,-0.4375,-4.9033,-0.7453,7.9630,-4.9600,-0.8300,8.5100,-0.0700,0.0000,0.0500,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4834,-12.0071,-0.4770,-29.8750,24.7648,25.0000,0.0000,0.0000
62,7.4499,GROUND,0.8750,-4.9033,-0.7061,7.9630,-4.9100,-0.8700,8.5200,-0.0300,-0.0300,0.0600,359.9375,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4791,-11.3308,0.2069,-29.8750,24.7648,25.0000,0.0000,0.0000
63,7.4880,GROUND,0.0625,-4.9426,-0.8630,8.1591,-5.1500,-0.8300,8.5000,-0.2600,0.0000,0.0400,359.9375,-29.8750,5.5625,-4.8900,-0.8300,8.4500,-10.5747,-11.5595,-0.0535,-29.8750,24.7648,25.0000,0.0000,0.0000
64,7.5279,GROUND,-0.2500,-4.9818,-0.6276,7.8061,-5.0500,-0.8200,8.4000,-0.1600,0.0000,-0.0500,359.8750,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4657,-11.8115,-0.3481,-29.8750,24.7648,25.0000,0.0000,0.0000
65,7.5673,GROUND,-0.6250,-4.8249,-0.7453,8.1199,-4.8000,-0.8800,8.5000,0.0700,-0.0400,0.0400,359.8750,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4969,-12.1019,-0.6876,-29.8750,24.7648,25.0000,0.0000,0.0000
66,7.6043,GROUND,0.3750,-4.4718,-0.5884,8.1199,-4.9000,-0.9100,8.5500,-0.0800,-0.0300,0.0400,359.8750,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.4116,-11.6152,-0.1823,-29.8125,24.7648,25.0000,0.0000,0.0000
67,7.6407,GROUND,0.0000,-4.9818,-0.6276,7.9238,-5.1000,-0.7700,8.3200,-0.2100,0.0500,-0.1300,359.8750,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.4034,-11.6376,-0.2382,-29.8750,24.7648,25.0000,0.0000,0.0000
68,7.6800,GROUND,-0.3125,-4.9426,-0.6669,8.0807,-5.0500,-0.8600,8.4600,-0.1600,-0.0300,0.0000,359.8750,-29.8750,5.5625,-4.8900,-0.8300,8.4500,-10.4245,-11.8101,-0.4548,-29.8750,24.7648,25.0000,0.0000,0.0000
69,7.7190,GROUND,-1.6250,-4.8641,-0.8630,8.0022,-4.8400,-0.8400,8.6000,0.0400,-0.0100,0.1400,359.8750,-29.8750,5.5625,-4.8800,-0.8300,8.4600,-10.5540,-12.6427,-1.3663,-29.8750,24.7648,25.0000,0.0000,0.0000
70,7.7578,GROUND,0.4375,-4.7072,-0.6669,8.0807,-4.8400,-0.7700,8.5900,0.0300,0.0500,0.1300,359.8750,-29.8125,5.5625,-4.8800,-0.8300,8.4600,-10.4817,-11.6587,-0.4095,-29.8125,24.7648,25.0000,0.0000,0.0000
71,7.7970,GROUND,-0.1250,-5.0210,-0.6276,7.9630,-4.8400,-0.7700,8.5900,-0.2000,0.0000,-0.0300,359.8750,-29.8750,5.5625,-4.8900,-0.8300,8.4500,-10.4302,-11.6226,-0.3885,-29.8750,24.7648,25.0000,0.0000,0.0000
72,7.8332,GROUND,0.0625,-5.0210,-0.7845,7.9238,-5.1200,-0.9700,8.3600,-0.1200,-0.1100,0.0000,359.8750,-29.8750,5.5625,-4.8900,-0.8300,8.4500,-10.5074,-11.4877,-0.2707,-29.8750,24.7648,25.0000,0.0000,0.0000
73,7.8717,GROUND,0.7500,-4.9033,-0.7453,7.9238,-4.9800,-0.8600,8.5100,-0.0800,-0.0300,0.0500,359.8750,-29.9375,5.6250,-4.8900,-0.8300,8.4500,-10.5125,-11.0006,0.2051,-29.9375,24.7648,25.0000,0.0000,0.0000
74,7.9109,GROUND,0.6250,-4.8641,-0.5884,7.9630,-4.8500,-0.7600,8.4700,0.0400,0.0700,0.0100,359.8750,-29.9375,5.6250,-4.8900,-0.8300,8.4500,-10.4176,-10.8865,0.3101,-29.9375,24.7648,25.0000,0.0000,0.0000
75,7.9499,GROUND,-0.5625,-4.9426,-0.7453,8.1199,-5.0800,-0.9100,8.4400,-0.1900,-0.0800,-0.0100,359.8750,-29.9375,5.6250,-4.8900,-0.8300,8.4500,-10.4786,-11.5466,-0.3920,-29.9375,24.7648,25.0000,0.0000,0.0000
76,7.9869,GROUND,1.8125,-5.0602,-0.7845,7.8061,-5.1400,-0.9200,8.4900,-0.2400,-0.0900,0.0400,359.8750,-29.9375,5.6250,-4.9000,-0.8300,8.4500,-10.5256,-10.3660,0.8357,-29.9375,24.7648,25.0000,0.0000,0.0000
77,8.0250,GROUND,-0.8750,-4.8641,-0.5099,7.8061,-4.8700,-0.7100,8.5100,0.0400,0.0800,0.0500,359.8750,-29.9375,5.6250,-4.8900,-0.8300,8.4500,-10.3745,-11.5449,-0.3932,-29.9375,24.7648,25.0000,0.0000,0.0000
78,8.0631,GROUND,-0.4375,-4.7464,-0.3530,7.7669,-4.8900,-0.8900,8.6100,0.0000,-0.0600,0.1500,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.2195,-11.6946,-0.5904,-29.8750,24.7648,25.0000,0.0000,0.0000
79,8.1029,GROUND,1.4375,-4.8249,-0.7453,8.3945,-5.0400,-0.8700,8.4500,-0.1500,-0.0400,0.0000,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.4025,-10.6096,0.5274,-29.8750,24.7648,25.0000,0.0000,0.0000
80,8.1399,GROUND,-1.0625,-5.0602,-0.7453,7.9630,-5.1700,-0.8800,8.4500,-0.2700,-0.0400,0.0000,359.8750,-29.9375,5.6250,-4.8900,-0.8300,8.4500,-10.4729,-11.7378,-0.6368,-29.9375,24.7648,25.0000,0.0000,0.0000
81,8.1797,GROUND,0.1250,-4.8249,-0.4707,8.1591,-4.9100,-0.7600,8.5100,-0.0100,0.0600,0.0600,359.8750,-29.9375,5.6250,-4.8900,-0.8300,8.4500,-10.3297,-11.3894,-0.3266,-29.9375,24.7648,25.0000,0.0000,0.0000
82,8.2186,GROUND,0.8750,-4.8641,-0.7453,7.8453,-4.8800,-0.9400,8.5400,0.0000,-0.1100,0.0800,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.4447,-10.7908,0.2700,-29.8750,24.7648,25.0000,0.0000,0.0000
83,8.2574,GROUND,-0.8750,-4.9426,-0.6669,7.9238,-4.9700,-0.8300,8.4900,-0.0900,0.0000,0.0400,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.4405,-11.6360,-0.6124,-29.8750,24.7648,25.0000,0.0000,0.0000
84,8.2963,GROUND,0.5000,-4.9426,-0.6669,7.8845,-5.0200,-0.8600,8.4600,-0.1300,0.0000,0.0100,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.4385,-11.0832,-0.0778,-29.8750,24.7648,25.0000,0.0000,0.0000
85,8.3351,GROUND,-0.1875,-4.8249,-0.7061,8.0807,-4.9500,-0.8300,8.5000,-0.0700,0.0200,0.0800,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.4622,-11.2891,-0.3089,-29.8750,24.7648,25.0000,0.0000,0.0000
86,8.3741,GROUND,-0.1875,-4.9426,-0.7061,7.9630,-4.9700,-0.8500,8.4300,-0.0800,-0.0100,-0.0200,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.4712,-11.3482,-0.3995,-29.8750,24.7648,25.0000,0.0000,0.0000
87,8.4135,GROUND,-1.4375,-4.9818,-0.7845,7.9630,-5.0300,-0.8500,8.5200,-0.1300,-0.0100,0.0600,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.5233,-12.1211,-1.2236,-29.8750,24.7648,25.0000,0.0000,0.0000
88,8.4529,GROUND,-0.4375,-4.8249,-0.7061,7.9238,-4.9500,-0.8400,8.4400,-0.0600,0.0000,-0.0100,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.4944,-11.7681,-0.8972,-29.8750,24.7648,25.0000,0.0000,0.0000
89,8.4905,GROUND,-1.0000,-4.9426,-0.8238,8.2768,-4.9500,-0.8400,8.4400,-0.1100,-0.0800,-0.0400,359.8750,-29.8750,5.6250,-4.8900,-0.8300,8.4500,-10.5563,-11.9579,-1.1220,-29.8750,24.7648,25.0000,0.0000,0.0000
90,8.5267,GROUND,-0.1250,-5.1779,-0.7061,7.9238,-4.9300,-0.9000,8.6200,0.1200,-0.2400,0.5400,359.8750,-29.8750,5.6250,-4.8800,-0.8300,8.4500,-10.5070,-11.4816,-0.6672,-29.8750,24.7648,25.0000,0.0000,0.0000
91,8.5659,GROUND,0.0625,-5.0602,-0.7453,7.2569,-4.9100,-0.7800,8.2100,0.0200,-0.0100,0.0300,359.8750,-29.8750,5.6250,-4.8800,-0.8300,8.4500,-10.5124,-11.1683,-0.3739,-29.8750,24.7648,25.0000,0.0000,0.0000
