Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
6.3101,GROUND,-0.6875,0.0392,9.6890,-0.3138,-0.0400,9.2300,0.1800,0.0000,-0.5500,-0.0200,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0718,-0.4031,-0.5458,-0.2500
6.3457,GROUND,0.0000,0.0000,9.7282,-0.3138,-0.0600,9.2200,0.1700,-0.0200,-0.5800,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0537,-0.1070,-0.2075,-0.2500
6.3820,GROUND,-1.3125,0.0000,9.6890,-0.3138,-0.0200,9.2100,0.1600,0.0100,-0.5800,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0712,-0.6792,-0.9039,-0.2500
6.4160,GROUND,0.0000,0.0392,9.6890,-0.3530,-0.0300,9.2500,0.1400,0.0000,-0.5400,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0777,-0.1842,-0.3439,-0.2500
6.4521,GROUND,0.2500,0.0392,9.6890,-0.3530,-0.0300,9.2200,0.1600,0.0000,-0.5800,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0802,0.1357,0.0276,-0.2500
6.4874,GROUND,0.5625,0.0392,9.6890,-0.3530,-0.0400,9.2400,0.1500,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0811,0.4167,0.3660,-0.2500
6.5220,GROUND,-0.2500,0.0392,9.6890,-0.3530,-0.0200,9.2500,0.1500,0.0100,-0.5400,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0817,0.0653,-0.0165,-0.2500
6.5583,GROUND,-1.0000,0.0392,9.6890,-0.3530,-0.0400,9.2400,0.1600,0.0000,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0819,-0.4875,-0.6355,-0.2500
6.5942,GROUND,-0.0625,0.0392,9.7282,-0.3530,-0.0200,9.2300,0.1900,0.0100,-0.5600,0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0576,-0.1583,-0.2808,-0.2500
6.6301,GROUND,-0.5625,0.0000,9.7282,-0.3530,-0.0400,9.2300,0.1500,0.0000,-0.5700,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0484,-0.3143,-0.4604,-0.2500
6.6653,GROUND,-0.7500,0.0392,9.7282,-0.3530,-0.0600,9.2500,0.1500,-0.0100,-0.5500,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0449,-0.4738,-0.6472,-0.2500
6.7014,GROUND,1.3125,0.0392,9.7282,-0.3530,-0.0400,9.2400,0.1700,0.0100,-0.5600,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0432,0.6468,0.5819,-0.2500
6.7373,GROUND,-1.1250,0.0392,9.6890,-0.2746,-0.0400,9.2400,0.1600,0.0000,-0.5500,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0673,-0.3359,-0.4855,-0.2500
6.7726,GROUND,-0.3750,0.0392,9.6890,-0.2746,-0.0100,9.2500,0.1500,0.0200,-0.5500,0.0000,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0763,-0.2681,-0.4203,-0.2500
6.8086,GROUND,-1.0625,0.0000,9.7282,-0.3530,-0.0300,9.2300,0.1400,0.0000,-0.5700,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0556,-0.6396,-0.8291,-0.2500
6.8451,GROUND,0.8750,0.0392,9.6890,-0.3138,-0.0200,9.2500,0.1800,0.0000,-0.5700,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0716,0.3135,0.2359,-0.2500
6.8779,GROUND,0.0000,0.0000,9.6890,-0.3138,-0.0300,9.2300,0.1700,0.0000,-0.5700,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0780,0.1668,0.0914,-0.2500
6.9145,GROUND,-0.5625,0.0392,9.6890,-0.3530,-0.0300,9.2400,0.1400,0.0000,-0.5500,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0805,-0.2224,-0.3189,-0.2500
6.9505,GROUND,0.3125,0.0392,9.6890,-0.3138,-0.0300,9.2400,0.1700,0.0100,-0.5600,0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0812,0.1509,0.0765,-0.2500
6.9866,GROUND,0.3125,0.0392,9.6890,-0.3138,-0.0400,9.2200,0.1900,0.0000,-0.5700,0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0816,0.2788,0.2270,-0.2500
7.0201,GROUND,-0.9375,0.0392,9.6890,-0.3530,-0.0400,9.2300,0.1300,0.0100,-0.5400,-0.0100,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.0819,-0.3930,-0.5031,-0.2500
7.0545,GROUND,-0.5625,0.0392,9.6497,-0.3923,-0.0300,9.2700,0.1900,0.0000,-0.5300,0.0300,359.9375,-0.2500,-89.0000,-0.0400,9.8000,0.1600,-0.1061,-0.4228,-0.5457,-0.2500
