Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
6.8994,GROUND,-0.0625,-0.0392,9.6890,-0.3923,-0.1500,9.2300,0.1800,0.0200,-0.5700,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0689,-0.3483,-0.6523,-1.0625,0.2277
6.9341,GROUND,-0.6875,-0.0392,9.6497,-0.3923,-0.2100,9.2300,0.1900,-0.0200,-0.5700,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.1012,-0.3649,-0.6792,-1.0625,-0.0211
6.9705,GROUND,-0.3750,-0.0392,9.7282,-0.3530,-0.1600,9.2300,0.1700,-0.0200,-0.5700,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0650,-0.1837,-0.4921,-1.0625,-0.2322
7.0050,GROUND,-0.8125,-0.0785,9.7282,-0.2746,-0.1800,9.2200,0.1700,0.0000,-0.5700,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0512,-0.3743,-0.6969,-1.0625,0.6714
7.0419,GROUND,-1.0000,-0.0392,9.7282,-0.3530,-0.1900,9.2100,0.1800,0.0000,-0.5900,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0459,-0.5447,-0.8927,-1.0625,2.3353
7.0759,GROUND,-0.6875,-0.0392,9.6890,-0.3530,-0.1300,9.2300,0.1600,0.0400,-0.5700,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0681,-0.4132,-0.7705,-1.0625,0.4828
7.1120,GROUND,1.1250,-0.0785,9.6890,-0.3138,-0.2300,9.2100,0.1700,-0.0500,-0.5900,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0763,0.7125,0.4197,-1.0625,3.7442
7.1471,GROUND,0.5000,-0.0392,9.7282,-0.3530,-0.2300,9.2100,0.1700,0.0000,-0.5600,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0555,0.7428,0.4791,-1.0625,5.4490
7.1806,GROUND,-0.9375,-0.0392,9.6890,-0.3530,-0.1500,9.2000,0.2100,0.0200,-0.5600,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0720,-0.1085,-0.4044,-1.0625,-0.3227
7.2160,GROUND,-0.2500,-0.0392,9.7282,-0.3923,-0.1700,9.2300,0.1500,0.0000,-0.5700,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0538,-0.0155,-0.3084,-1.0625,-0.3062
7.2521,GROUND,-0.6250,-0.0392,9.6497,-0.2746,-0.1800,9.2600,0.2100,0.0000,-0.5300,0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0954,-0.2068,-0.5084,-1.0625,-0.2844
7.2873,GROUND,0.2500,-0.0785,9.7282,-0.3138,-0.1900,9.2300,0.1700,-0.0100,-0.5600,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0627,0.2555,-0.0324,-1.0625,0.4883
7.3236,GROUND,-0.6875,-0.0785,9.7674,-0.3530,-0.1500,9.2200,0.1100,0.0200,-0.5800,-0.0700,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0261,-0.1431,-0.4424,-1.0625,-0.0509
7.3586,GROUND,0.2500,-0.0785,9.6890,-0.3138,-0.2100,9.2500,0.2400,-0.0200,-0.5500,0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0605,0.2756,-0.0073,-1.0625,0.6204
7.3944,GROUND,-1.0000,-0.0392,9.7282,-0.3530,-0.1900,9.2100,0.2000,0.0000,-0.5900,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0496,-0.3086,-0.6295,-1.0625,0.3306
7.4281,GROUND,-0.6875,-0.0392,9.6890,-0.3138,-0.1700,9.2300,0.1300,0.0100,-0.5600,-0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0695,-0.3391,-0.6703,-1.0625,0.1566
7.4647,GROUND,-0.9375,-0.0785,9.7282,-0.3138,-0.2100,9.2200,0.2300,-0.0200,-0.5800,0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0530,-0.4973,-0.8436,-1.0625,1.4920
7.5009,GROUND,-0.1875,-0.0392,9.6890,-0.2746,-0.1800,9.2200,0.1800,0.0000,-0.5800,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0707,-0.1011,-0.4362,-1.0625,-0.3639
7.5350,GROUND,-0.8750,-0.0392,9.7282,-0.3138,-0.1800,9.2200,0.1800,0.0000,-0.5800,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0534,-0.3529,-0.7138,-1.0625,0.4520
7.5679,GROUND,0.2500,-0.0785,9.6890,-0.3923,-0.1900,9.2500,0.1900,0.0000,-0.5400,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0709,0.2309,-0.1105,-1.0625,0.2656
7.6042,GROUND,0.1250,-0.0392,9.6890,-0.3138,-0.1900,9.2400,0.1900,-0.0100,-0.5600,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0776,0.3667,0.0412,-1.0625,0.9071
7.6402,GROUND,-0.4375,-0.0785,9.6890,-0.2746,-0.1800,9.2300,0.1600,0.0000,-0.5500,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0803,0.0622,-0.2562,-1.0625,-0.2321
7.6763,GROUND,0.7500,-0.1177,9.6890,-0.2746,-0.1800,9.2500,0.1900,0.0000,-0.5400,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0811,0.6768,0.3801,-1.0625,3.2034
7.7123,GROUND,0.3750,-0.0785,9.7282,-0.2746,-0.1700,9.1800,0.2000,0.0000,-0.5400,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0573,0.6584,0.3852,-1.0625,4.1647
7.7457,GROUND,1.1250,-0.0785,9.7282,-0.3923,-0.1800,9.2100,0.1400,0.0000,-0.5800,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0482,1.0696,0.8592,-1.0625,12.7349
7.7787,GROUND,-0.9375,-0.0392,9.6497,-0.3138,-0.1800,9.2100,0.1400,0.0100,-0.5800,-0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0935,-0.0172,-0.2597,-1.0625,-0.2581
7.8138,GROUND,0.6875,-0.0392,9.6890,-0.3138,-0.1700,9.2100,0.2200,-0.0200,-0.5600,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0862,0.5547,0.3378,-1.0625,2.1234
7.8497,GROUND,0.1875,-0.0785,9.6890,-0.3530,-0.1500,9.2400,0.1500,0.0200,-0.5600,-0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0835,0.4495,0.2501,-1.0625,1.4597
7.8846,GROUND,1.3125,0.0000,9.6890,-0.3923,-0.1400,9.2300,0.2300,0.0400,-0.5600,0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0824,1.0802,0.9263,-1.0625,8.0109
7.9197,GROUND,-0.7500,-0.0392,9.6890,-0.2746,-0.2200,9.2000,0.1700,0.0400,-0.5600,0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0823,0.0493,-0.1172,-1.0625,-0.1025
7.9544,GROUND,-0.3750,-0.1177,9.7674,-0.3923,-0.2300,9.2500,0.1500,0.0000,-0.5500,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0336,-0.1102,-0.2793,-1.0625,-0.0985
7.9899,GROUND,-1.0625,0.0000,9.7282,-0.3530,-0.1200,9.2700,0.1900,0.0500,-0.5200,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0393,-0.5935,-0.7754,-1.0625,3.7070
8.0265,GROUND,1.3125,-0.0785,9.6890,-0.3138,-0.2100,9.2100,0.1700,-0.0200,-0.5800,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0653,0.7007,0.5351,-1.0625,4.2949
8.0621,GROUND,-1.0625,-0.0785,9.6890,-0.2746,-0.2100,9.2000,0.2400,0.0000,-0.5700,0.0700,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0758,-0.2968,-0.4644,-1.0625,0.1169
8.0979,GROUND,-0.6250,-0.0392,9.7282,-0.2746,-0.1300,9.2500,0.1400,0.0400,-0.5500,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0553,-0.3879,-0.5693,-1.0625,0.7906
8.1313,GROUND,-0.6875,-0.0785,9.7282,-0.3923,-0.1700,9.1500,0.1700,0.0100,-0.6400,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0475,-0.4533,-0.6491,-1.0625,1.5145
8.1677,GROUND,-0.8125,0.0000,9.6890,-0.3530,-0.2100,9.2600,0.2400,-0.0200,-0.5300,0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0688,-0.5469,-0.7585,-1.0625,1.4167
8.2043,GROUND,-2.0625,-0.0392,9.6890,-0.2354,-0.1500,9.2600,0.2100,0.0200,-0.5900,-0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0770,-1.3183,-1.5878,-1.0625,9.6921
8.2382,GROUND,-1.4375,-0.0392,9.7282,-0.4315,-0.1700,9.1800,0.2100,0.0000,-0.6100,0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0557,-1.2010,-1.5103,-1.0625,11.4276
8.2738,GROUND,-1.6875,-0.0392,9.6890,-0.3530,-0.1400,9.2200,0.1600,0.0500,-0.5700,-0.0100,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0719,-1.2853,-1.6379,-1.0625,9.8485
8.3096,GROUND,-0.8125,-0.0785,9.6890,-0.2354,-0.2400,9.2200,0.1800,-0.0500,-0.5800,0.0000,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0779,-0.7460,-1.1339,-1.0625,2.4366
8.3461,GROUND,-0.1250,-0.0392,9.6890,-0.3530,-0.1500,9.2400,0.1700,0.0000,-0.5700,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0802,-0.1230,-0.5068,-1.0625,-0.4126
8.3807,GROUND,-0.1875,-0.0785,9.7282,-0.2354,-0.1500,9.2400,0.1700,0.0000,-0.5700,-0.0400,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0569,0.0652,-0.3071,-1.0625,-0.2697
8.4142,GROUND,0.5000,-0.0785,9.7282,-0.3530,-0.1900,9.2000,0.2100,-0.0200,-0.5400,0.0300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0480,0.5437,0.2027,-1.0625,3.2822
8.4491,GROUND,-0.8125,-0.0785,9.6890,-0.3530,-0.1700,9.2400,0.1700,0.0000,-0.5600,-0.0200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0691,-0.0618,-0.4302,-1.0625,-0.4026
8.4825,GROUND,-0.6250,-0.0392,9.6890,-0.2746,-0.2400,9.4600,-0.0200,-0.0600,-0.3300,-0.2200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0770,-0.1813,-0.5540,-1.0625,-0.3404
8.5185,GROUND,-1.6875,0.0392,9.6890,-0.0785,-0.1800,9.0900,0.1300,0.0000,-0.7000,-0.0500,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0802,-0.8452,-1.2705,-1.0625,3.1861
8.5516,GROUND,1.2500,-0.1177,9.6105,-0.4707,-0.1600,9.1900,0.2800,0.0100,-0.6000,0.0800,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.1294,0.6771,0.3080,-1.0625,2.0801
8.5866,GROUND,-0.6250,-0.0392,9.7674,-0.3923,-0.1700,9.2700,0.1200,0.0800,-0.5800,0.0800,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0516,0.0907,-0.2719,-1.0625,-0.1923
8.6220,GROUND,0.0000,-0.1961,9.6890,-0.2746,-0.2800,9.2200,0.0600,-0.1000,-0.5800,-0.1200,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0703,0.2537,-0.0991,-1.0625,0.3588
8.6578,GROUND,-0.1875,-0.0392,9.6890,-0.3923,-0.1600,9.2400,0.0900,-0.0200,-0.5500,-0.0900,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0775,0.1940,-0.1517,-1.0625,0.0912
8.6910,GROUND,-1.7500,-0.0392,9.7282,-0.2354,-0.1600,9.2200,0.3200,0.0100,-0.5700,0.1300,0.0000,-1.0625,-88.8125,-0.1800,9.8000,0.1900,-0.0562,-0.7949,-1.1581,-1.0625,4.4675
